254486,37808,0.63,-64.3,-65.7,-1.22,4,7,1.75,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.63,0.62
254488,37809,0.65,-64.1,-66.1,-1.10,4,7,1.00,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,2,-1,-2,1,0.63,0.62
254490,37810,0.65,-64.0,-65.1,-1.21,4,7,1.53,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,2,-1,-2,1,0.65,0.62
254493,37811,0.66,-64.1,-65.8,-0.98,4,7,1.86,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,2,-1,-2,1,0.65,0.63
254495,37812,0.59,-64.3,-65.6,-1.37,4,7,1.08,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,2,-1,-2,1,0.65,0.63
254510,37813,0.65,-64.4,-65.7,-1.10,4,7,1.03,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,2,-1,-2,1,0.65,0.63
254512,37814,0.61,-63.8,-65.2,-1.28,4,7,1.91,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254514,37815,0.65,-63.6,-64.6,-1.04,4,7,1.30,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254517,37816,0.65,-64.4,-65.8,-1.10,4,7,1.75,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254519,37817,0.61,-63.3,-64.6,-1.31,4,7,1.13,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254521,37818,0.66,-64.1,-65.1,-1.04,4,7,1.56,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254523,37819,0.64,-64.3,-65.6,-1.15,4,7,1.84,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254526,37820,0.66,-64.1,-65.3,-1.06,4,7,1.31,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,3,0,2,1,0.65,0.63
254528,37821,0.63,-63.8,-65.1,-1.22,4,7,1.78,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.63
254530,37822,0.65,-64.4,-65.5,-1.06,4,7,1.09,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.65,0.63
254532,37823,0.63,-64.0,-65.0,-1.22,4,7,1.45,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.63
254535,37824,0.64,-64.0,-65.2,-1.18,4,7,1.80,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.63
254537,37825,0.66,-64.0,-64.8,-0.94,4,7,1.14,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.63
254539,37826,0.63,-64.4,-65.7,-1.13,4,7,1.61,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.64
254541,37827,0.65,-64.4,-65.8,-1.12,4,7,1.84,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.64,0.64
254544,37828,0.65,-63.6,-64.7,-1.21,4,7,1.22,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.65,0.64
254546,37829,0.64,-64.1,-65.1,-1.13,4,7,1.66,0,0,0,0,0,-27,5,1035,1,1,35,35,0,0,0,1,-2,-1,1,0.65,0.64
254548,37830,0.64,-64.4,-66.0,-1.12,4,7,0.95,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254551,37831,0.64,-64.3,-65.4,-1.33,4,7,1.17,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254553,37832,0.61,-64.4,-65.8,-1.27,4,7,1.72,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254555,37833,0.64,-64.1,-65.4,-1.12,4,7,1.08,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254557,37834,0.66,-64.1,-65.3,-1.04,4,7,1.53,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254560,37835,0.64,-64.0,-65.3,-1.04,4,7,1.84,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254562,37836,0.65,-64.3,-65.4,-1.04,4,7,1.25,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254564,37837,0.64,-64.0,-65.1,-1.22,4,7,1.63,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254566,37838,0.64,-64.0,-65.5,-1.22,4,7,0.92,0,0,0,0,0,-27,6,1035,1,1,35,35,0,0,0,2,-2,1,1,0.64,0.64
254569,37839,0.63,-63.7,-64.8,-1.13,4,7,1.45,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,4,4,3,1,0.64,0.64
254571,37840,0.64,-64.0,-65.3,-1.22,4,7,1.75,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,4,4,3,1,0.64,0.64
