ms,sample,dist,rx_power,fp_power,clock_ppm,score,nlos,peak_fp,fp_conf,sts,iax,iay,iaz,rax,ray,raz,resp_acq_ms,init_acq_ms,resp_profile_opt,init_profile_opt,igx,igy,igz,rgx,rgy,rgz,valid,dist_filt
40004,17145,1.78,-79.4,-94.8,-1.21,3,4,4.94,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40006,17146,1.78,-74.8,-92.3,-1.04,3,5,4.41,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.73
40008,17147,1.74,-79.4,-96.4,-1.09,3,4,4.84,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40010,17148,1.74,-79.4,-97.6,-1.15,3,4,5.31,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40012,17149,1.69,-79.4,-98.1,-1.18,2,3,5.70,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40014,17150,1.78,-79.4,-96.0,-1.06,3,4,4.92,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,3,4,2,1,1.74
40016,17151,1.77,-79.4,-97.9,-1.10,3,4,5.19,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.74
40032,17152,1.75,-79.3,-97.0,-1.22,3,4,5.38,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.75
40034,17153,1.77,-79.3,-97.7,-1.21,3,4,5.06,0,0,0,0,0,-13,-29,1035,1,1,35,35,0,0,0,6,1,2,1,1.77
40036,17154,1.72,-79.4,-98.4,-1.19,2,3,5.73,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.77
40038,17155,1.69,-79.4,-96.5,-1.18,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40040,17156,1.76,-79.5,-97.3,-1.33,3,4,5.03,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40042,17157,1.69,-79.5,-97.7,-1.15,3,3,5.64,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40044,17158,1.70,-79.4,-96.7,-1.24,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.70
40046,17159,1.75,-79.4,-96.9,-1.16,3,4,5.17,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.70
40049,17160,1.72,-79.3,-97.2,-1.04,3,3,5.67,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40051,17161,1.80,-79.4,-96.4,-1.24,3,4,4.81,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.72
40053,17162,1.81,-79.3,-97.7,-1.16,3,4,5.08,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,3,-2,0,1,1.75
40055,17163,1.71,-79.3,-97.7,-1.18,3,3,5.73,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.75
40057,17164,1.77,-79.4,-96.2,-1.24,3,4,4.92,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40059,17165,1.77,-79.4,-97.5,-1.16,3,4,5.05,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40062,17166,1.69,-79.3,-97.0,-1.09,3,3,5.77,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40064,17167,1.69,-79.4,-96.3,-1.16,3,4,4.89,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.71
40066,17168,1.77,-79.4,-97.3,-1.12,3,4,5.14,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.77
40068,17169,1.67,-79.5,-97.6,-1.27,3,3,5.77,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.69
40070,17170,1.70,-79.4,-96.8,-1.28,3,1,7.84,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.69
40072,17171,1.74,-74.8,-92.1,-1.22,3,4,5.42,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.70
40075,17172,1.70,-79.4,-98.2,-1.22,2,3,5.69,0,0,0,0,0,-14,-28,1036,1,1,35,35,0,0,0,4,-1,0,1,1.70
40077,17173,1.77,-79.4,-96.4,-1.10,3,4,4.89,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.70
40079,17174,1.75,-79.3,-97.1,-1.28,3,4,5.20,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.74
40081,17175,1.70,-79.4,-98.0,-1.13,3,3,5.75,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.74
40083,17176,1.72,-79.4,-96.3,-1.21,3,4,4.88,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
40085,17177,1.73,-79.4,-97.4,-1.34,3,4,5.41,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.73
40087,17178,1.71,-79.4,-96.9,-1.10,3,4,4.75,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
40090,17179,1.75,-79.5,-97.6,-1.13,3,4,5.05,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.72
40092,17180,1.74,-79.2,-97.4,-1.10,3,3,5.61,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.73
40094,17181,1.66,-79.4,-97.3,-1.28,3,4,4.89,0,0,0,0,0,-14,-30,1035,1,1,35,35,0,0,0,5,1,0,1,1.73
40096,17182,1.77,-79.4,-94.8,-1.15,3,4,5.00,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.74
40098,17183,1.73,-79.4,-97.8,-1.19,3,3,5.66,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.74
40100,17184,1.71,-79.4,-96.7,-1.10,3,1,7.92,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.73
40102,17185,1.77,-79.4,-97.8,-1.16,3,4,5.06,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.73
40105,17186,1.69,-79.2,-97.3,-1.19,3,4,4.80,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.73
40107,17187,1.77,-79.4,-96.0,-1.16,3,4,4.83,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.73
40109,17188,1.76,-79.4,-97.7,-1.09,3,4,5.36,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.76
40111,17189,1.72,-79.4,-97.1,-1.10,3,4,4.75,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.76
40113,17190,1.75,-79.4,-95.4,-1.15,3,4,4.94,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,1,1,5,1,1.75
40115,17191,1.71,-79.4,-97.6,-1.16,3,3,5.56,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.75
40117,17192,1.72,-79.4,-96.7,-1.10,3,4,4.81,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.72
40120,17193,1.80,-79.5,-97.5,-1.12,3,4,5.09,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.72
40122,17194,1.74,-79.3,-97.5,-1.09,3,4,4.73,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.74
40124,17195,1.78,-79.5,-96.4,-1.04,3,4,4.94,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.74
40126,17196,1.75,-79.4,-97.9,-1.18,3,4,5.20,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.75
40128,17197,1.71,-79.4,-97.2,-1.27,3,3,5.67,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.75
40130,17198,1.68,-79.4,-96.2,-1.27,3,4,4.95,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.74
40132,17199,1.69,-79.4,-97.5,-1.18,3,3,5.66,0,0,0,0,0,-13,-28,1035,1,1,35,35,0,0,0,6,0,2,1,1.71
40135,17200,1.74,-79.4,-97.1,-1.18,3,3,5.86,0,0,0,0,0,-13,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.71
40137,17201,1.78,-79.4,-95.1,-1.15,3,4,4.94,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.71
40139,17202,1.71,-79.3,-97.8,-1.22,3,1,7.67,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.71
40141,17203,1.78,-79.4,-96.7,-1.03,3,4,4.89,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.74
40143,17204,1.75,-79.3,-97.3,-1.22,3,4,5.19,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.75
40145,17205,1.70,-79.4,-97.6,-1.22,3,3,5.66,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.75
40147,17206,1.76,-79.4,-96.2,-1.16,3,4,4.91,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.75
40149,17207,1.76,-79.3,-97.1,-1.19,3,4,5.23,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.76
40152,17208,1.70,-79.4,-97.2,-1.21,3,3,5.77,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.75
40154,17209,1.78,-79.3,-95.4,-1.19,3,4,4.92,0,0,0,0,0,-14,-28,1034,1,1,35,35,0,0,0,2,1,2,1,1.76
40156,17210,1.72,-79.4,-97.7,-1.18,3,3,5.61,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.76
40158,17211,1.74,-79.4,-96.7,-1.12,3,4,4.84,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.74
40160,17212,1.78,-79.4,-94.9,-1.21,3,4,4.92,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.74
40162,17213,1.72,-79.4,-97.4,-1.21,3,3,5.70,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.74
40164,17214,1.71,-79.4,-96.8,-1.18,3,4,4.86,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.72
40167,17215,1.78,-79.3,-97.5,-1.22,3,4,5.17,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.74
40182,17216,1.79,-79.4,-97.1,-1.13,3,4,5.08,0,0,0,0,0,-14,-30,1034,1,1,35,35,0,0,0,5,1,1,1,1.78
40184,17217,1.74,-79.4,-96.0,-1.10,3,4,4.98,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,4,-1,1,1,1.74
40186,17218,1.74,-79.4,-97.6,-1.13,3,4,5.31,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,4,-1,1,1,1.74
40188,17219,1.69,-79.3,-97.2,-1.19,3,4,4.88,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,4,-1,1,1,1.74
40190,17220,1.76,-79.4,-95.5,-1.22,3,4,4.89,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,4,-1,1,1,1.74
40192,17221,1.74,-79.3,-97.4,-1.21,3,3,5.44,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,4,-1,1,1,1.74
40195,17222,1.68,-79.3,-96.9,-1.13,3,4,4.78,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.74
40197,17223,1.79,-79.4,-95.7,-1.10,3,4,4.94,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.74
40199,17224,1.72,-79.3,-97.3,-1.25,3,3,5.45,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.74
40201,17225,1.71,-79.4,-97.5,-1.12,3,4,4.80,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.72
40203,17226,1.78,-79.4,-97.4,-1.19,3,4,5.02,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.72
40205,17227,1.71,-79.2,-97.4,-1.25,3,3,5.67,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.72
40207,17228,1.77,-79.5,-96.7,-1.06,3,4,4.84,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.72
40210,17229,1.74,-79.3,-97.8,-1.13,3,4,5.13,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.74
40212,17230,1.73,-79.4,-97.8,-1.07,3,3,5.77,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,2,1,1.74
40214,17231,1.76,-79.4,-96.1,-1.16,3,4,4.92,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,0,1,3,1,1.74
40216,17232,1.76,-79.2,-97.2,-1.22,3,4,5.28,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.76
40218,17233,1.72,-79.5,-97.0,-1.19,3,4,4.77,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40220,17234,1.74,-79.4,-95.9,-1.15,3,4,4.92,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40222,17235,1.74,-79.3,-97.5,-1.13,3,4,5.31,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40225,17236,1.71,-79.4,-96.7,-1.18,3,4,4.86,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40227,17237,1.80,-79.4,-96.6,-1.07,3,4,4.89,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40229,17238,1.76,-79.4,-97.2,-1.18,3,2,7.28,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40231,17239,1.69,-79.4,-96.9,-1.18,3,4,4.77,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.74
40233,17240,1.77,-79.5,-95.8,-1.04,3,4,4.92,0,0,0,0,0,-13,-28,1036,1,1,35,35,0,0,0,-1,0,3,1,1.76
40235,17241,1.77,-79.2,-97.4,-1.12,3,4,5.38,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.77
40238,17242,1.68,-79.4,-97.3,-1.22,3,4,4.81,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.76
40240,17243,1.81,-79.4,-95.7,-1.10,3,4,4.94,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.77
40242,17244,1.70,-79.4,-98.0,-1.13,3,3,5.56,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.77
40244,17245,1.73,-79.3,-97.0,-1.21,3,4,4.73,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.73
40246,17246,1.76,-79.4,-95.1,-1.18,3,4,4.92,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.73
40248,17247,1.77,-79.4,-97.2,-1.24,3,4,5.20,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.76
40251,17248,1.72,-79.5,-97.7,-1.07,3,3,5.80,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.73
40253,17249,1.73,-79.4,-96.1,-1.12,3,4,4.95,0,0,0,0,0,-15,-29,1035,1,1,35,35,0,0,0,1,-2,0,1,1.73
40255,17250,1.71,-79.4,-97.6,-1.27,3,3,5.44,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,0,1,1,1.73
40257,17251,1.72,-79.4,-98.0,-1.04,3,4,4.73,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,0,1,1,1.72
40259,17252,1.74,-79.4,-95.8,-1.22,3,4,4.97,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,0,1,1,1.72
40261,17253,1.72,-79.5,-98.1,-1.04,3,3,5.64,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,0,1,1,1.72
40264,17254,1.74,-79.3,-96.4,-1.18,3,4,4.86,0,0,0,0,0,-14,-29,1035,1,1,35,35,0,0,0,3,0,1,1,1.72
